gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Segment
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,0.776800898244767,High Risk 🔴
1,0,0,0,26,1,2,1,0,0,2,0,2,2,0,1,2,98.35,2515.3,0.7457602646513494,High Risk 🔴
0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,79.6,195.05,0.7202515590477243,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.5,80.5,0.8276701121145594,High Risk 🔴
1,0,0,0,42,1,2,1,0,0,0,2,2,2,0,1,2,100.3,4222.95,0.7879376219880219,High Risk 🔴
0,1,0,0,9,1,2,1,0,0,2,0,2,0,0,1,2,90.1,816.8,0.8716347403418432,High Risk 🔴
1,1,0,0,11,1,2,1,0,2,2,2,2,2,0,1,2,111.4,1183.05,0.7211705630235085,High Risk 🔴
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,171.15,0.701576919884719,High Risk 🔴
1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,89.85,244.45,0.7746116373668464,High Risk 🔴
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6,360.1,0.8552061783281848,High Risk 🔴
0,0,0,0,4,1,2,1,0,2,0,2,0,2,0,1,2,93.5,362.2,0.8160143132182937,High Risk 🔴
1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,0.8757187701984932,High Risk 🔴
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.05,25.05,0.7827857392008434,High Risk 🔴
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,0.8586537313323579,High Risk 🔴
0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,497.55,0.7393668875175867,High Risk 🔴
1,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,74.35,265.35,0.7684589351103898,High Risk 🔴
0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,0,0,95.65,778.1,0.7617971719938532,High Risk 🔴
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.65,71.65,0.7421037267104837,High Risk 🔴
1,0,0,0,13,1,2,1,0,0,0,2,2,2,0,1,3,99.0,1301.7,0.8110819358396374,High Risk 🔴
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480.0,0.8135023520473926,High Risk 🔴
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0.9054103710799492,High Risk 🔴
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,76.45,76.45,0.9537636738457137,High Risk 🔴
0,0,0,0,8,1,2,1,0,0,0,0,2,0,0,1,2,87.05,762.1,0.7799035089228884,High Risk 🔴
0,0,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,96.6,291.9,0.8801658995730839,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,0.835902573538602,High Risk 🔴
0,0,1,0,6,1,2,1,0,2,2,0,2,2,0,1,2,105.3,545.2,0.8300197166030403,High Risk 🔴
1,1,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,98.85,4564.9,0.855447421118577,High Risk 🔴
1,0,0,0,3,1,2,1,0,0,2,0,2,2,0,1,2,100.95,329.95,0.8922663825039856,High Risk 🔴
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,75.3,0.7462171149831427,High Risk 🔴
1,0,0,0,3,1,2,1,0,0,0,0,0,2,0,1,2,85.3,264.8,0.8760263708610917,High Risk 🔴
1,0,0,0,6,1,0,1,0,0,0,0,2,0,0,1,1,80.5,463.05,0.7479389111988509,High Risk 🔴
0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.85,256.6,0.7942293979463166,High Risk 🔴
0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,0,3,95.65,95.65,0.9014008873471993,High Risk 🔴
0,1,0,0,4,1,0,1,0,2,2,0,2,2,0,1,1,99.8,442.85,0.8668539293580876,High Risk 🔴
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.5,220.6,0.7730185422788112,High Risk 🔴
0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,79.15,79.15,0.9399479093783466,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.1,69.1,0.9078688824670552,High Risk 🔴
0,0,1,0,6,1,2,1,0,2,0,0,0,2,0,1,2,90.75,512.25,0.893648549429381,High Risk 🔴
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,71.0,0.7729018091924732,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,2,84.85,84.85,0.8607738449249449,High Risk 🔴
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.8,78.8,0.9132293255615468,High Risk 🔴
1,0,1,0,4,1,0,1,0,0,0,0,2,0,0,1,2,80.35,307.4,0.7026941891935541,High Risk 🔴
0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,85.7,169.8,0.9042018695977108,High Risk 🔴
1,0,0,0,6,1,0,1,0,2,0,0,0,2,0,1,2,84.4,556.35,0.7743317247108804,High Risk 🔴
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,75.7,0.8272386021273153,High Risk 🔴
0,0,0,0,5,1,2,1,0,0,0,0,2,0,0,1,2,84.0,424.75,0.7804459818544528,High Risk 🔴
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,69.5,69.5,0.8227246671465757,High Risk 🔴
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.55,166.3,0.7609608964891853,High Risk 🔴
0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,80.0,241.3,0.7105024753231192,High Risk 🔴
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,3,74.4,527.9,0.765880047816916,High Risk 🔴
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,0.9192003645270831,High Risk 🔴
0,1,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,84.05,186.05,0.860250088471912,High Risk 🔴
0,0,1,1,6,1,2,1,0,2,2,0,2,0,0,1,3,94.05,518.75,0.8986361150327145,High Risk 🔴
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,70.0,70.0,0.7867798386003466,High Risk 🔴
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,79.35,79.35,0.9228163523240062,High Risk 🔴
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,3,74.9,136.05,0.7525385024187315,High Risk 🔴
0,0,0,1,2,1,2,1,0,0,0,0,2,2,0,1,0,94.2,193.8,0.9100681217854247,High Risk 🔴
1,0,0,0,1,1,0,1,0,2,0,0,0,2,0,1,2,85.0,85.0,0.8215698749669079,High Risk 🔴
0,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.05,256.25,0.7476713509412488,High Risk 🔴
0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,25.3,77.75,0.7322165460817539,High Risk 🔴
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,2,74.85,485.25,0.7590395440166111,High Risk 🔴
0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,79.0,303.15,0.7348710936610028,High Risk 🔴
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,1,2,94.1,701.3,0.8995295487747015,High Risk 🔴
1,0,1,0,10,1,2,1,0,0,0,0,2,0,0,1,2,85.6,813.85,0.7610979276023786,High Risk 🔴
1,1,0,0,25,1,2,1,0,2,0,0,2,0,0,1,2,89.5,2196.15,0.7289164850027136,High Risk 🔴
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,2,75.4,533.05,0.7590395440166111,High Risk 🔴
1,0,0,0,21,1,2,1,2,0,2,0,2,2,0,0,3,103.85,2215.0,0.781445683085627,High Risk 🔴
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,71.0,0.7577191244613654,High Risk 🔴
1,1,1,0,4,1,2,1,0,0,0,0,0,0,0,1,3,74.4,306.6,0.7652007443439537,High Risk 🔴
1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.1,95.1,0.9445185264087069,High Risk 🔴
1,1,0,0,14,1,2,1,0,0,0,0,2,2,0,1,2,95.6,1273.3,0.7860410183570832,High Risk 🔴
0,1,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.05,85.05,0.9304496052345387,High Risk 🔴
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,74.25,74.25,0.8816182718613707,High Risk 🔴
0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,2,75.8,160.75,0.771978003903708,High Risk 🔴
1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,1,0,105.35,323.25,0.8481113459885846,High Risk 🔴
0,1,0,0,42,1,2,1,0,2,2,0,2,2,0,1,0,104.75,4323.45,0.7770783797346303,High Risk 🔴
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,0.7607085132525345,High Risk 🔴
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,0.7026836048480333,High Risk 🔴
1,1,1,0,3,1,2,1,0,2,2,0,2,2,0,1,2,105.9,334.65,0.8757872912169619,High Risk 🔴
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,101.95,700.85,0.8811425772053794,High Risk 🔴
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,99.25,665.45,0.9438457914997661,High Risk 🔴
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,35.55,0.8759127603260045,High Risk 🔴
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,713.0,0.9322207118674153,High Risk 🔴
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,0.7963057473521827,High Risk 🔴
1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,79.0,143.65,0.8057371297277747,High Risk 🔴
1,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.45,95.45,0.9447714660092146,High Risk 🔴
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,2,74.3,74.3,0.8299546276958636,High Risk 🔴
1,0,1,0,22,1,0,1,2,2,0,2,2,2,0,1,2,104.6,2180.55,0.7178959592823448,High Risk 🔴
0,0,0,0,18,1,0,1,2,0,0,0,2,2,0,1,2,96.05,1740.7,0.7003661052012436,High Risk 🔴
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,0.8065244939562396,High Risk 🔴
1,0,0,0,3,0,1,0,0,0,2,0,2,0,0,1,3,40.15,130.75,0.7639911512477119,High Risk 🔴
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,0.835902573538602,High Risk 🔴
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,77.15,77.15,0.9417156488598583,High Risk 🔴
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.95,212.4,0.7751870712947555,High Risk 🔴
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6,0.9236664494941855,High Risk 🔴
1,0,1,1,49,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4872.45,0.8066772270023521,High Risk 🔴
0,0,0,0,13,1,2,1,2,2,0,0,2,0,0,1,2,96.65,1244.5,0.725984578447153,High Risk 🔴
1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,2,59.85,59.85,0.7282611045652174,High Risk 🔴
0,1,1,0,4,1,2,1,0,0,0,0,2,0,0,1,2,83.25,308.05,0.8017824068627715,High Risk 🔴
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,70.25,0.7636091421956109,High Risk 🔴
1,1,1,0,54,1,2,1,0,0,2,0,2,2,0,1,1,99.05,5295.7,0.706928235285068,High Risk 🔴
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25,69.25,0.9188665085349222,High Risk 🔴
1,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,1,84.4,732.5,0.8475032937226491,High Risk 🔴
